O–O Distance (Å),Energy (Eh)
4.028,-152.85658350
4.029,-152.85657974
4.030,-152.85657597
4.031,-152.85657221
4.032,-152.85656846
4.033,-152.85656470
4.034,-152.85656095
4.035,-152.85655721
4.036,-152.85655347
4.038,-152.85654600
4.040,-152.85653855
4.043,-152.85652740
4.044,-152.85652370
4.046,-152.85651629
4.047,-152.85651260
4.048,-152.85650890
4.053,-152.85649051
4.055,-152.85648317
4.057,-152.85647586
4.058,-152.85647221
4.060,-152.85646491
4.061,-152.85646127
4.062,-152.85645764
4.063,-152.85645401
4.066,-152.85644313
4.067,-152.85643952
4.069,-152.85643230
4.071,-152.85642509
4.072,-152.85642149
4.074,-152.85641431
4.079,-152.85639643
4.081,-152.85638930
4.082,-152.85638574
4.083,-152.85638219
4.084,-152.85637864
4.085,-152.85637509
4.086,-152.85637155
4.087,-152.85636802
4.088,-152.85636448
4.089,-152.85636095
4.091,-152.85635390
4.093,-152.85634687
4.094,-152.85634336
4.096,-152.85633635
4.098,-152.85632936
4.100,-152.85632238
4.101,-152.85631890
4.102,-152.85631541
4.103,-152.85631194
4.107,-152.85629808
4.109,-152.85629117
4.110,-152.85628772
4.111,-152.85628428
4.112,-152.85628083
4.113,-152.85627740
4.114,-152.85627396
4.116,-152.85626711
4.117,-152.85626369
4.123,-152.85624324
4.126,-152.85623307
4.127,-152.85622969
4.128,-152.85622631
4.129,-152.85622293
4.130,-152.85621956
4.131,-152.85621619
4.132,-152.85621283
4.133,-152.85620947
4.134,-152.85620612
4.136,-152.85619941
4.137,-152.85619607
4.138,-152.85619273
4.139,-152.85618939
4.140,-152.85618606
4.141,-152.85618273
4.143,-152.85617608
4.148,-152.85615953
4.149,-152.85615615
4.151,-152.85614957
4.153,-152.85614300
4.155,-152.85613644
4.157,-152.85612990
4.158,-152.85612664
4.159,-152.85612338
4.161,-152.85611687
4.162,-152.85611362
4.164,-152.85610713
4.167,-152.85609743
4.169,-152.85609098
4.170,-152.85608784
4.172,-152.85608142
4.174,-152.85607501
4.175,-152.85607181
4.176,-152.85606861
4.177,-152.85606542
4.178,-152.85606223
4.179,-152.85605904
4.181,-152.85605269
4.182,-152.85604951
4.183,-152.85604634
4.184,-152.85604318
4.186,-152.85603686
4.190,-152.85602426
4.191,-152.85602112
4.193,-152.85601485
4.194,-152.85601172
4.195,-152.85600860
4.196,-152.85600548
4.198,-152.85599925
4.199,-152.85599614
4.200,-152.85599303
4.203,-152.85598374
4.204,-152.85598065
4.206,-152.85597448
4.207,-152.85597140
4.208,-152.85596832
4.209,-152.85596525
4.210,-152.85596218
4.212,-152.85595605
4.213,-152.85595299
4.214,-152.85594994
4.215,-152.85594689
4.218,-152.85593776
4.219,-152.85593473
4.220,-152.85593170
4.224,-152.85591960
4.225,-152.85591659
4.229,-152.85590457
4.230,-152.85590158
4.231,-152.85589859
4.234,-152.85588964
4.235,-152.85588666
4.239,-152.85587479
4.241,-152.85586887
4.244,-152.85586003
4.245,-152.85585709
4.246,-152.85585415
4.247,-152.85585122
4.249,-152.85584536
4.250,-152.85584244
4.252,-152.85583661
4.254,-152.85583079
4.255,-152.85582788
4.256,-152.85582498
4.257,-152.85582208
4.259,-152.85581630
4.260,-152.85581341
4.262,-152.85580765
4.264,-152.85580190
4.266,-152.85579616
4.267,-152.85579330
4.268,-152.85579044
4.269,-152.85578758
4.270,-152.85578473
4.271,-152.85578188
4.275,-152.85577052
4.276,-152.85576769
4.277,-152.85576487
4.279,-152.85575922
4.280,-152.85575640
4.283,-152.85574797
4.284,-152.85574517
4.286,-152.85573957
4.287,-152.85573678
4.288,-152.85573399
4.289,-152.85573120
4.291,-152.85572564
4.293,-152.85572009
4.294,-152.85571732
4.295,-152.85571455
4.296,-152.85571179
4.297,-152.85570903
4.301,-152.85569802
4.302,-152.85569528
4.304,-152.85568980
4.305,-152.85568707
4.309,-152.85567617
4.310,-152.85567346
4.314,-152.85566262
4.317,-152.85565453
4.318,-152.85565184
4.319,-152.85564915
4.322,-152.85564111
4.323,-152.85563844
4.325,-152.85563310
4.326,-152.85563044
4.331,-152.85561716
4.332,-152.85561452
4.333,-152.85561188
4.334,-152.85560924
4.335,-152.85560660
4.336,-152.85560397
4.337,-152.85560134
4.340,-152.85559347
4.341,-152.85559086
4.344,-152.85558303
4.345,-152.85558042
4.346,-152.85557782
4.348,-152.85557263
4.349,-152.85557004
4.350,-152.85556745
4.351,-152.85556486
4.354,-152.85555713
4.355,-152.85555455
4.356,-152.85555198
4.357,-152.85554942
4.358,-152.85554685
4.359,-152.85554429
4.360,-152.85554174
4.362,-152.85553663
4.363,-152.85553408
4.365,-152.85552900
4.366,-152.85552646
4.367,-152.85552392
4.368,-152.85552139
4.370,-152.85551633
4.373,-152.85550877
4.376,-152.85550123
4.377,-152.85549872
4.378,-152.85549622
4.380,-152.85549122
4.382,-152.85548624
4.384,-152.85548127
4.385,-152.85547878
4.388,-152.85547135
4.389,-152.85546888
4.390,-152.85546641
4.391,-152.85546395
4.392,-152.85546149
4.393,-152.85545903
4.394,-152.85545657
4.395,-152.85545412
4.396,-152.85545167
4.398,-152.85544677
4.400,-152.85544189
4.402,-152.85543702
4.404,-152.85543216
4.405,-152.85542974
4.409,-152.85542006
4.411,-152.85541524
4.412,-152.85541284
4.413,-152.85541043
4.415,-152.85540563
4.416,-152.85540324
4.417,-152.85540084
4.418,-152.85539845
4.419,-152.85539607
4.421,-152.85539130
4.423,-152.85538655
4.425,-152.85538180
4.426,-152.85537943
4.428,-152.85537470
4.429,-152.85537234
4.430,-152.85536999
4.433,-152.85536293
4.434,-152.85536058
4.436,-152.85535589
4.437,-152.85535355
4.438,-152.85535122
4.441,-152.85534422
4.442,-152.85534189
4.443,-152.85533957
4.444,-152.85533725
4.448,-152.85532798
4.450,-152.85532337
4.451,-152.85532106
4.455,-152.85531187
4.456,-152.85530958
4.458,-152.85530500
4.459,-152.85530272
4.460,-152.85530043
4.461,-152.85529815
4.462,-152.85529588
4.463,-152.85529360
4.464,-152.85529133
4.466,-152.85528679
4.467,-152.85528453
4.468,-152.85528226
4.470,-152.85527774
4.471,-152.85527549
4.472,-152.85527324
4.473,-152.85527098
4.475,-152.85526649
4.476,-152.85526425
4.477,-152.85526200
4.478,-152.85525977
4.479,-152.85525753
4.482,-152.85525083
4.483,-152.85524860
4.484,-152.85524638
4.485,-152.85524416
4.486,-152.85524193
4.487,-152.85523972
4.488,-152.85523750
4.490,-152.85523308
4.491,-152.85523087
4.496,-152.85521985
4.499,-152.85521327
4.501,-152.85520890
4.503,-152.85520453
4.504,-152.85520235
4.505,-152.85520018
4.506,-152.85519800
4.507,-152.85519583
4.508,-152.85519366
4.509,-152.85519149
4.512,-152.85518500
4.513,-152.85518284
4.514,-152.85518068
4.516,-152.85517637
4.518,-152.85517207
4.520,-152.85516778
4.521,-152.85516564
4.523,-152.85516136
4.524,-152.85515923
4.526,-152.85515496
4.527,-152.85515283
4.528,-152.85515071
4.531,-152.85514434
4.532,-152.85514222
4.534,-152.85513799
4.535,-152.85513588
4.536,-152.85513377
4.538,-152.85512955
4.540,-152.85512535
4.541,-152.85512325
4.543,-152.85511906
4.546,-152.85511279
4.548,-152.85510862
4.551,-152.85510238
4.552,-152.85510030
4.557,-152.85508995
4.559,-152.85508583
4.562,-152.85507966
4.563,-152.85507761
4.565,-152.85507351
4.566,-152.85507146
4.567,-152.85506941
4.568,-152.85506737
4.569,-152.85506533
4.571,-152.85506126
4.572,-152.85505922
4.573,-152.85505719
4.574,-152.85505516
4.576,-152.85505111
4.580,-152.85504302
4.582,-152.85503899
4.583,-152.85503698
4.585,-152.85503296
4.587,-152.85502895
4.589,-152.85502495
4.590,-152.85502296
4.591,-152.85502096
4.592,-152.85501897
4.595,-152.85501300
4.596,-152.85501101
4.599,-152.85500507
4.600,-152.85500309
4.603,-152.85499717
4.604,-152.85499520
4.605,-152.85499323
4.609,-152.85498538
4.610,-152.85498342
4.612,-152.85497951
4.613,-152.85497756
4.614,-152.85497561
4.616,-152.85497172
4.617,-152.85496978
4.618,-152.85496783
4.620,-152.85496396
4.621,-152.85496202
4.622,-152.85496009
4.623,-152.85495816
4.627,-152.85495045
4.628,-152.85494852
4.629,-152.85494660
4.631,-152.85494277
4.633,-152.85493894
4.634,-152.85493703
4.635,-152.85493512
4.637,-152.85493131
4.640,-152.85492561
4.641,-152.85492372
4.642,-152.85492182
4.643,-152.85491993
4.645,-152.85491615
4.646,-152.85491426
4.648,-152.85491049
4.650,-152.85490673
4.651,-152.85490485
4.653,-152.85490110
4.654,-152.85489923
4.656,-152.85489550
4.657,-152.85489363
4.660,-152.85488804
4.662,-152.85488433
4.666,-152.85487692
4.667,-152.85487507
4.669,-152.85487139
4.674,-152.85486220
4.676,-152.85485854
4.677,-152.85485671
4.678,-152.85485488
4.679,-152.85485306
4.681,-152.85484942
4.682,-152.85484760
4.683,-152.85484578
4.684,-152.85484396
4.689,-152.85483492
4.691,-152.85483131
4.693,-152.85482771
4.695,-152.85482412
4.697,-152.85482053
4.699,-152.85481696
4.700,-152.85481517
4.701,-152.85481338
4.702,-152.85481160
4.704,-152.85480804
4.706,-152.85480449
4.707,-152.85480272
4.709,-152.85479917
4.710,-152.85479740
4.711,-152.85479564
4.713,-152.85479211
4.714,-152.85479035
4.715,-152.85478859
4.716,-152.85478683
4.718,-152.85478332
4.719,-152.85478156
4.721,-152.85477806
4.723,-152.85477457
4.727,-152.85476759
4.728,-152.85476586
4.729,-152.85476412
4.730,-152.85476238
4.733,-152.85475719
4.734,-152.85475546
4.735,-152.85475373
4.736,-152.85475200
4.737,-152.85475028
4.740,-152.85474512
4.741,-152.85474340
4.743,-152.85473997
4.744,-152.85473825
4.747,-152.85473312
4.748,-152.85473142
4.749,-152.85472971
4.751,-152.85472631
4.752,-152.85472460
4.753,-152.85472291
4.754,-152.85472121
4.756,-152.85471782
4.761,-152.85470936
4.762,-152.85470768
4.764,-152.85470431
4.765,-152.85470263
4.767,-152.85469927
4.769,-152.85469592
4.770,-152.85469424
4.772,-152.85469090
4.775,-152.85468589
4.777,-152.85468256
4.778,-152.85468090
4.779,-152.85467924
4.780,-152.85467758
4.782,-152.85467426
4.784,-152.85467095
4.785,-152.85466930
4.787,-152.85466600
4.788,-152.85466435
4.789,-152.85466270
4.790,-152.85466106
4.793,-152.85465613
4.794,-152.85465449
4.795,-152.85465285
4.796,-152.85465121
4.797,-152.85464958
4.799,-152.85464631
4.802,-152.85464142
4.805,-152.85463654
4.807,-152.85463329
4.808,-152.85463167
4.809,-152.85463005
4.811,-152.85462681
4.812,-152.85462520
4.813,-152.85462358
4.815,-152.85462036
4.816,-152.85461875
4.817,-152.85461714
4.818,-152.85461553
4.820,-152.85461232
4.821,-152.85461072
4.822,-152.85460912
4.823,-152.85460752
4.827,-152.85460113
4.832,-152.85459317
4.833,-152.85459159
4.834,-152.85459000
4.835,-152.85458842
4.837,-152.85458525
4.838,-152.85458367
4.839,-152.85458209
4.840,-152.85458051
4.841,-152.85457894
4.842,-152.85457736
4.843,-152.85457579
4.846,-152.85457107
4.850,-152.85456481
4.852,-152.85456168
4.854,-152.85455856
4.855,-152.85455701
4.856,-152.85455545
4.857,-152.85455390
4.858,-152.85455234
4.859,-152.85455079
4.861,-152.85454769
4.862,-152.85454614
4.864,-152.85454305
4.866,-152.85453996
4.868,-152.85453688
4.869,-152.85453534
4.871,-152.85453226
4.872,-152.85453073
4.873,-152.85452919
4.874,-152.85452766
4.877,-152.85452307
4.878,-152.85452154
4.879,-152.85452002
4.880,-152.85451849
4.881,-152.85451697
4.882,-152.85451545
4.884,-152.85451241
4.888,-152.85450634
4.890,-152.85450332
4.892,-152.85450030
4.895,-152.85449578
4.897,-152.85449278
4.898,-152.85449127
4.899,-152.85448978
4.900,-152.85448828
4.901,-152.85448678
4.902,-152.85448529
4.903,-152.85448379
4.904,-152.85448230
4.905,-152.85448081
4.908,-152.85447634
4.909,-152.85447485
4.910,-152.85447337
4.913,-152.85446892
4.914,-152.85446744
4.915,-152.85446597
4.916,-152.85446449
4.918,-152.85446154
4.920,-152.85445859
4.921,-152.85445712
4.929,-152.85444541
4.931,-152.85444249
4.932,-152.85444104
4.933,-152.85443958
4.934,-152.85443813
4.937,-152.85443378
4.942,-152.85442656
4.943,-152.85442512
4.945,-152.85442224
4.947,-152.85441936
4.950,-152.85441507
4.951,-152.85441364
4.952,-152.85441221
4.953,-152.85441078
4.955,-152.85440793
4.956,-152.85440651
4.957,-152.85440508
4.958,-152.85440366
4.960,-152.85440083
4.962,-152.85439799
4.963,-152.85439658
4.965,-152.85439375
4.966,-152.85439234
4.967,-152.85439094
4.968,-152.85438953
4.976,-152.85437832
4.977,-152.85437692
4.979,-152.85437414
4.980,-152.85437275
4.981,-152.85437136
4.983,-152.85436858
4.984,-152.85436719
4.985,-152.85436581
4.986,-152.85436443
4.988,-152.85436166
4.990,-152.85435891
4.991,-152.85435753
4.992,-152.85435616
4.993,-152.85435478
4.995,-152.85435204
4.997,-152.85434930
4.998,-152.85434793
4.999,-152.85434657
5.001,-152.85434384
